1      n' monte                      nm§t                         non on n' monte pas
1      l' auto                       lo-to                        monte pas l' auto .
3      n' as                         na                           tu n' as pas r' mis
13     garde un                      gaR d1                        r' garde un peu le desordre
17     l' tapis                      lta-pi                       remets l' tapis la .
18     c' est                        se                           voila c' est tres bien .
25     c' est                        se                           c' est pas tes livres y
25     livres y                      li vRi                        pas tes livres y a
25     d' images                     di-maZ                       a pas d' images .
26     l' prendre                    lpR@dR                       tu peux l' prendre y
26     prendre y                     lpR@ dRi                      peux l' prendre y a
26     des images                    de zi-maZ                     y a des images .
29     d' images                     di-maZ                       a pas d' images non
29     n' crois                      nkRwa                        plus je n' crois pas
30     prends en                     pR@ z@                        prends en un autre .
30     un autre                      1 notR                        prends en un autre .
31     c' est                        se                           non c' est pas dans cui~la
31     l' auto                       lo-to                        dans cui~la l' auto .
34     c' est                        se                           c' est fafa qui conduit l'
34     l' auto                       lo-to                        qui conduit l' auto ?
38     l' auto                       lo-to                        pas dans l' auto .
40     d' auto                       do-to                        a pas d' auto dans
40     c' livre~la                   s#                           auto dans c' livre~la .
41     c' est                        se                           c' est dans cui~la qu' y
41     qu' y                         ki                           dans cui~la qu' y a
41     une auto                      y no-to                       y a une auto .
48     c' est                        se                           c' est pas pour fafa ca
49     c' est                        se                           non c' est pas une toto
49     c' est                        se                           une toto c' est un
52     c' est                        se                           non c' est un p' tit
56     qu' il                        kil                          ou est-ce qu' il est le
56     il est                        ki le                         est-ce qu' il est le
57     c' est                        se                           non c' est pas fafa .
58     qu' est-ce                    kEs                          qu' est-ce que c' est ?
58     c' est                        se                           est-ce que c' est ?
59     c' est                        se                           c' est un .
63     qu' est-ce                    kEs                          qu' est-ce qu' on fait la
63     qu' on                        k§                           qu' est-ce qu' on fait la
64     qu' est-ce                    kEs                          qu' est-ce qu' on fait avec
64     qu' on                        k§                           qu' est-ce qu' on fait avec
65     c' est                        se                           c' est pas fafa .
66     c' est                        se                           c' est quoi ?
67     brosse a                      bRO sa                        ah la brosse a dents
68     brosse a                      bRO sa                        brosse a dents .
75     c' est                        se                           ' que c' est ?
76     n' est                        ne                           non ce n' est pas un
76     c' est                        se                           tit chat c' est un
77     l' eau                        lo                           dans l' eau oui .
86     c' est                        se                           c' est pas une titi pour
86     c' est                        se                           tu ca c' est un
86     un os                         1 nOs                         c' est un os .
87     un os                         1 nOs                         un os os .
87     os os                         nO sOs                        un os os .
88     c' est                        se                           c' est un gros chien .
89     langue oui                    l@ gwi                        la langue oui .
92     n' a                          na                           i' n' a pas ferme la
93     n' l'                         nl                           i' n' l' a pas fermee
93     l' a                          nla                          i' n' l' a pas fermee
94     fume i'                       fy mi                         monsieur fume i' fume .
95     n' as                         na                           tu n' as jamais vu hein
96     c' est                        se                           oui ca c' est l'
96     l' papa                       lpa-pa                       c' est l' papa .
97     c' est                        se                           c' est l' papa de qui
97     l' papa                       lpa-pa                       c' est l' papa de qui
98     c' est                        se                           c' est le papa de stephane
99     c' est                        se                           c' est le papa a fafa
100    c' est                        se                           non c' est le papa au
102    c' est                        se                           c' est le papa du p'
103    qu' est-ce                    kEs                          qu' est-ce que c' est ca
